TestMatchNumber,Wicket,Batter,dismissalMode,Fielder,Runs,innings,opponent,venue,country,matchDate,match,video,description,Milestone,fieldingPosition,wktDetails,player
18,62,BJ Watling,lbw,,25,2,v New Zealand,Eden Gardens,India,30-Sep-16,Test # 2222,shami-wkt-62,"gone! A bit of reverse into Watling, quite full, and the best way to play these balls is to get a big stride forward so that even if it swings in and beats your inside edge, you're hit on the pad outside the line of off stump. Watling didn't do that. His front leg was planted a short way forward, in front of middle stump, and he stood no chance.",,,"62. BJ Watling lbw  Shami
Test Match#: 18.0: v New Zealand at Eden Gardens in 2016 (1st innings)",Shami
18,63,N Wagner,lbw,,10,2,v New Zealand,Eden Gardens,India,30-Sep-16,Test # 2222,shami-wkt-63,"gone! The question was whether it pitched in line. He's bowling over the wicket to a left-hander, but it's fairly full. Stays in the crease and tries to punch down the ground, bat comes down at an angle, going towards wide mid-on. Ball misses his inside edge and hits his front pad. Ball pitched just on the edge of a leg-stump line. Not sure half of the ball was in line.",,,"63. N Wagner lbw  Shami
Test Match#: 18.0: v New Zealand at Eden Gardens in 2016 (1st innings)",Shami
18,64,MJ Santner,lbw,,9,4,v New Zealand,Eden Gardens,India,30-Sep-16,Test # 2222,shami-wkt-64,"fullish, angling in from wide of the crease, and Richard Kettleborough upholds a confident shout from Shami. Strikes in front of off and middle as it beats the inside edge of his defensive shot. Fair enough decision at first glance, but he went really wide of the crease, so it may just have missed leg? Hawkeye (the one on our scorecard) says it's clipping leg stump.",,,"64. MJ Santner lbw  Shami
Test Match#: 18.0: v New Zealand at Eden Gardens in 2016 (2nd innings)",Shami
18,65,BJ Watling,bowled,,1,4,v New Zealand,Eden Gardens,India,30-Sep-16,Test # 2222,shami-wkt-65,"bowled him! Shami is on fire here, takes off in the Shoaib Akhtar/Allan Donald aeroplane celebration. Reverse into Watling, and for some reason it beats his outside edge as he looks to push through cover and takes out off stump. It straightened a bit off the pitch, that's why. Such a difficult ball to play.",,,"65. BJ Watling b  Shami
Test Match#: 18.0: v New Zealand at Eden Gardens in 2016 (2nd innings)",Shami
18,66,TA Boult,caught,M Vijay,4,4,v New Zealand,Eden Gardens,India,30-Sep-16,Test # 2222,shami-wkt-66,"bouncer, and Boult backs away from the line and gives it an almighty heave. Top-edges it high in the air, and Vijay moves backwards and to his right from first slip, calling ""mine"", loudly, and completes a commanding Indian performance.",,slip-cordon,"66. TA Boult c M Vijay b Shami
Test Match#: 18.0: v New Zealand at Eden Gardens in 2016 (2nd innings)",Shami
20,67,MM Ali,bowled,,117,1,v England,Rajkot,India,09-Nov-16,Test # 2232,shami-wkt-67,"he doesn't need any of those catchers! Strange, strange choice of shot, or non-shot, from Moeen. This was angled in towards off stump, maybe a tiny bit of swing in. Shami has been attacking the stumps right through this over. Moeen misjudges the line entirely, leaves the ball alone, and it knocks back his off stump.",,,"67. MM Ali b  Shami
Test Match#: 20.0: v England at Rajkot in 2016 (1st innings)",Shami
20,68,JM Bairstow,caught,WP Saha,46,1,v England,Rajkot,India,09-Nov-16,Test # 2232,shami-wkt-68,"gone. The partnership is broken one short of 100, Bairstow falls four short of a half-century. A bit of away reverse outside off as Bairstow tries to slap this shortish ball through point. Bottom-edges it to Saha, who gratefully clings on to this simple chance almost straight to him. Just had to move a little to his right.",,Keeper,"68. JM Bairstow c WP Saha b Shami
Test Match#: 20.0: v England at Rajkot in 2016 (1st innings)",Shami
21,69,AN Cook,bowled,,2,2,v England,Visakhapatnam,India,17-Nov-16,Test # 2235,shami-wkt-69,"he has broken the stump into two. What a sensational start. Beauty from Shami. They say top of off, he has burst through the off stump. That's a peach. This is pitched on off, Cook expects it to angle away, but the ball seams back in sharply to hit the off stump. Absolutely sensational bowling from Shami. Rahane retrieves the half of the stump that has flown towards short third man.",,,"69. AN Cook b  Shami
Test Match#: 21.0: v England at Visakhapatnam in 2016 (1st innings)",Shami
21,70,JE Root,lbw,,25,4,v England,Visakhapatnam,India,17-Nov-16,Test # 2235,shami-wkt-70,"think this is going down and it has been reviewed after Root has been given out. This seems to be swinging too much but the Hawkeye knows better. Root is on the crease as this swings in late, and what do you know, this is shown hitting flush. Lovely over from Shami, the cherry on the top being this full inswinger that has gone late and has gone with the shine. Good decision from Tucker too. Surely that is the Test?.",,,"70. JE Root lbw  Shami
Test Match#: 21.0: v England at Visakhapatnam in 2016 (2nd innings)",Shami
21,71,AU Rashid,caught,WP Saha,4,4,v England,Visakhapatnam,India,17-Nov-16,Test # 2235,shami-wkt-71,"one more for Shami. Short ball outside off, Rashid looks to ramp this over the slip, and gets a faint top edge. Rightly called on the field by umpire Tucker.",,Keeper,"71. AU Rashid c WP Saha b Shami
Test Match#: 21.0: v England at Visakhapatnam in 2016 (2nd innings)",Shami
22,72,MM Ali,caught,M Vijay,16,1,v England,Mohali,India,26-Nov-16,Test # 2238,shami-wkt-72,"and Moeen out on the bouncer again. This is a good bowling change, a good plan, and good field placement. Bouncer, head high, Moeen goes for the hook, gets a top edge fine, and Vijay has been placed fine at fine leg as opposed to the squarer long leg that we are used to seeing nowadays.",,Outfield,"72. MM Ali c M Vijay b Shami
Test Match#: 22.0: v England at Mohali in 2016 (1st innings)",Shami
22,73,AU Rashid,caught,PA Patel,4,1,v England,Mohali,India,26-Nov-16,Test # 2238,shami-wkt-73,"beauty first up. Perfect ball. Shami has his second. Seam movement here. Shami bowls short of a length, seam upright, Rashid has to play the angle, the ball hits the seam and moves away. Rashid is squared up, and edges it through. Lovely bowling. All bowlers bar Ashwin now have two wickets each. Ashwin has one.",,Keeper,"73. AU Rashid c PA Patel b Shami
Test Match#: 22.0: v England at Mohali in 2016 (1st innings)",Shami
22,74,GJ Batty,lbw,,1,1,v England,Mohali,India,26-Nov-16,Test # 2238,shami-wkt-74,"Batty has reviewed an lbw decision, but this is just because they have a review. Short of a length, angling in, and Batty plays across its line. A sort of half-pull, the kind Root played yesterday. He is hit in front of middle, and with the bounce not extraordinary on this pitch, Batty is out plumb. The review confirms that.",,,"74. GJ Batty lbw  Shami
Test Match#: 22.0: v England at Mohali in 2016 (1st innings)",Shami
22,75,CR Woakes,caught,PA Patel,30,3,v England,Mohali,India,26-Nov-16,Test # 2238,shami-wkt-75,"and Shami doesn't relent. Bowls another bouncer and takes India one strike closer to the win. This is just really really good fast bowling. Follows the bouncer with another sharp bouncer, into his armpit, giving him no chance to get away from it. It lobs off the handle of the bat for easy catch for the wicketkeeper.",Yes,Keeper,"75. CR Woakes c PA Patel b Shami
Test Match#: 22.0: v England at Mohali in 2016 (2nd innings)",Shami
22,76,AU Rashid,caught,UT Yadav,0,3,v England,Mohali,India,26-Nov-16,Test # 2238,shami-wkt-76,"fantastic clean-up job from Shami. Rashid is not going to get out of the line of the bouncer. This is at his head, and he just hooks. The top edge flies to fine leg. Shami, when he has the bit between his teeth, is a wonderful sight.",,Outfield,"76. AU Rashid c UT Yadav b Shami
Test Match#: 22.0: v England at Mohali in 2016 (2nd innings)",Shami
23,77,MD Gunathilaka,caught,S Dhawan,16,2,v Sri Lanka,Galle,Sri Lanka,26-Jul-17,Test # 2265,shami-wkt-77,"straight to first slip and a silly shot ends the debutant's stay. Short of a length delivery outside off, met with no footwork and a flashing bat. Perfect recipe for the outside edge.",,slip-cordon,"77. MD Gunathilaka c S Dhawan b Shami
Test Match#: 23.0: v Sri Lanka at Galle in 2017 (1st innings)",Shami
23,78,BKG Mendis,caught,S Dhawan,0,2,v Sri Lanka,Galle,Sri Lanka,26-Jul-17,Test # 2265,shami-wkt-78,"he's got two in the over and so has first slip! Sensational bowling from Shami, holding the ball in the corridor, waiting for the nick, like a seasoned fisherman. Mendis, the whippersnapper, leaps up and is bagged, tagged and instagrammed. Mendis' first duck at home.",,slip-cordon,"78. BKG Mendis c S Dhawan b Shami
Test Match#: 23.0: v Sri Lanka at Galle in 2017 (1st innings)",Shami
23,79,WU Tharanga,bowled,,10,4,v Sri Lanka,Galle,Sri Lanka,26-Jul-17,Test # 2265,shami-wkt-79,"Shami does not need any assistance from his fielders. He cleans up Tharanga all by himself. This is an even better ball. Back of a length, angling in, snakes back in from outside off. Sharp seam movement for Shami from around the wicket and extra bounce to boot. Tharanga is cramped for room and only drags it back onto the leg stump via an inside edge. The leg bail is tipped off.",,,"79. WU Tharanga b  Shami
Test Match#: 23.0: v Sri Lanka at Galle in 2017 (2nd innings)",Shami
24,80,N Dickwella,bowled,,51,2,v Sri Lanka,Colombo (SSC),Sri Lanka,03-Aug-17,Test # 2267,shami-wkt-80,"Dickwella's high-risk cricket fetched him a 44-ball fifty. His high-risk cricket now sees him scoop the ball right back onto the stumps. He pre-meditates by venturing a long way across the off stump. Shami keeps his head. Good length and angled in on off, Dickwella attempts to ramp it over the keeper's head, T20 style. Just deflects it back onto middle and off stumps, about half an hour before lunch.",,,"80. N Dickwella b  Shami
Test Match#: 24.0: v Sri Lanka at Colombo (SSC) in 2017 (1st innings)",Shami
24,81,HMRKB Herath,bowled,,2,2,v Sri Lanka,Colombo (SSC),Sri Lanka,03-Aug-17,Test # 2267,shami-wkt-81,"Shami cleans up Herath! It's all going pear-shaped for Sri Lanka. The bowler goes wide of the crease and slants it in, Herath looks for a big whip across the line. Shami hurls it at nearly 140ks and shoots through Herath as the ball thuds into middle stump.",,,"81. HMRKB Herath b  Shami
Test Match#: 24.0: v Sri Lanka at Colombo (SSC) in 2017 (1st innings)",Shami
25,82,WU Tharanga,caught,WP Saha,5,2,v Sri Lanka,Pallekele,Sri Lanka,12-Aug-17,Test # 2269,shami-wkt-82,"edged and taken! Tharanga nicks off. And reviews it. I'm not sure what's happening with these reviews, why would he chat with his partner and then review? It's another absolutely awful review. Shami gets this to come back in, but the key is that it didn't swing as much as the previous ones. Tharanga played for more swing than there was and got a thin edge. Saha dives away to his right and takes a good catch. But that's just awful cricket post the event from Tharanga. A terrible mis-use of the system, and should be held wholly accountable if a middle-order player gets a howler. A big noise too..",,Keeper,"82. WU Tharanga c WP Saha b Shami
Test Match#: 25.0: v Sri Lanka at Pallekele in 2017 (1st innings)",Shami
25,83,FDM Karunaratne,caught,WP Saha,4,2,v Sri Lanka,Pallekele,Sri Lanka,12-Aug-17,Test # 2269,shami-wkt-83,"terrific bowling this. Full again outside off, Karunaratne plays for some swing - like he has been doing through the innings - but this one doesn't move as much. So similar to the Tharanga dismissal. A thick outside edge and taken by Saha. Exceptional bowling. Not sure you can control the amount of swing you get, but he has done Karunaratne in with that length and plenty of doubt. At least, there's no review this time. They check the validity of the delivery - a legal front-foot delivery - and the catch - that's legal too, carried comfortably.",,Keeper,"83. FDM Karunaratne c WP Saha b Shami
Test Match#: 25.0: v Sri Lanka at Pallekele in 2017 (1st innings)",Shami
25,84,PM Pushpakumara,caught,WP Saha,1,3,v Sri Lanka,Pallekele,Sri Lanka,12-Aug-17,Test # 2269,shami-wkt-84,"goes wide of the crease again, full delivery around off. That angle forces Pushpakumara into a defensive prod, but the ball doesn't come back in, like the batsman plays for. It holds its line, gets a thick outside edge and is comfortably taken by Saha..",,Keeper,"84. PM Pushpakumara c WP Saha b Shami
Test Match#: 25.0: v Sri Lanka at Pallekele in 2017 (2nd innings)",Shami
25,85,BKG Mendis,lbw,,12,3,v Sri Lanka,Pallekele,Sri Lanka,12-Aug-17,Test # 2269,shami-wkt-85,"full, straight and given! No review from Mendis. Sri Lanka tottering. Beaten for pace. Goes full on leg, Mendis misses a flick, and you just can't miss straight deliveries. Umpire Tucker's finger goes up almost instantaneously. Umpire's call? Sliding down? A straight midwicket meant Mendis tried to use as less of the bat as possible, to hit the ball through square leg. To make that possible, he uses a cross-ish bat. Umpire's call on HawkEye, clipping by the slimmest of margins..",,,"85. BKG Mendis lbw  Shami
Test Match#: 25.0: v Sri Lanka at Pallekele in 2017 (2nd innings)",Shami
25,86,PADLR Sandakan,caught,WP Saha,8,3,v Sri Lanka,Pallekele,Sri Lanka,12-Aug-17,Test # 2269,shami-wkt-86,"144 kph, eight down are Sri Lanka. A touch of width but not nearly short enough to cut. The front foot is cleared, looks for a scythe through point again but gets a thick outside edge. Saha won't drop those. India within two wickets of a series whitewash.",,Keeper,"86. PADLR Sandakan c WP Saha b Shami
Test Match#: 25.0: v Sri Lanka at Pallekele in 2017 (2nd innings)",Shami
26,87,N Dickwella,caught,V Kohli,35,2,v Sri Lanka,Eden Gardens,India,16-Nov-17,Test # 2281,shami-wkt-87,"straight to second slip. The bounce again, from Shami. The ball swings inside, lands on the seam in the corridor and lifts off to take the outside edge as he pokes inside the line of this. Flies through quick at Kohli who is nicely balanced and snags this with the reverse cup.",,slip-cordon,"87. N Dickwella c V Kohli b Shami
Test Match#: 26.0: v Sri Lanka at Eden Gardens in 2017 (1st innings)",Shami
26,88,LD Chandimal,caught,WP Saha,28,2,v Sri Lanka,Eden Gardens,India,16-Nov-17,Test # 2281,shami-wkt-88,"has he edged it? Yes he has! There were four, maybe five, overs of superb batting from Sri Lanka. Now, it's the bowlers' turn. Stunning period of bowling. Caused all sorts of trouble to Chandimal, Shami, and then he floats up an outswinger in the corridor. Not a confident shot this time from the visting captain. Half stride and then a jab away from the body. A thin edge, taken easily behind the stumps.",,Keeper,"88. LD Chandimal c WP Saha b Shami
Test Match#: 26.0: v Sri Lanka at Eden Gardens in 2017 (1st innings)",Shami
26,89,MDK Perera,caught,WP Saha,5,2,v Sri Lanka,Eden Gardens,India,16-Nov-17,Test # 2281,shami-wkt-89,"beauty from Shami! Closest you'll come to the first ball of the Test that got KL Rahul. Back of a length ball, shapes away a touch and tickles the outside edge as the batsman tries hard to get behind the line of this based on it's trajectory. Nicely through to Saha at waist height..",,Keeper,"89. MDK Perera c WP Saha b Shami
Test Match#: 26.0: v Sri Lanka at Eden Gardens in 2017 (1st innings)",Shami
26,90,RAS Lakmal,bowled,,16,2,v Sri Lanka,Eden Gardens,India,16-Nov-17,Test # 2281,shami-wkt-90,"chops it on. Length ball wide outside off. Goes after it with no feet. Hard hands. Once again, not subtle about what Sri Lanka are going for. But the new ball skids on and he can't hit through the line. Big inside edge onto the stumps. He's done his part. 16 runs and part of a 46-run stand for the ninth.",,,"90. RAS Lakmal b  Shami
Test Match#: 26.0: v Sri Lanka at Eden Gardens in 2017 (1st innings)",Shami
26,91,FDM Karunaratne,bowled,,1,4,v Sri Lanka,Eden Gardens,India,16-Nov-17,Test # 2281,shami-wkt-91,"played on, again! Didn't need to play at that really, as it was a length ball outside off. Pushed with hard hands but was cramped for room and ended up dragging it back onto the stumps. What is happening?.",,,"91. FDM Karunaratne b  Shami
Test Match#: 26.0: v Sri Lanka at Eden Gardens in 2017 (2nd innings)",Shami
26,92,LD Chandimal,bowled,,20,4,v Sri Lanka,Eden Gardens,India,16-Nov-17,Test # 2281,shami-wkt-92,"through him! Chandimal hangs back to a full delivery and is thrown off balance as he tries to negotiate it. A 144 kph corker that shapes in at the worst possible moment, and a panicking Chandimal indulges in a flick, desperate to make contact. He can't. The ball zips through bat and pad and crashes into the stumps, very much like how Rahul was cleaned up earlier in the day..",,,"92. LD Chandimal b  Shami
Test Match#: 26.0: v Sri Lanka at Eden Gardens in 2017 (2nd innings)",Shami
27,93,FDM Karunaratne,caught,WP Saha,0,2,v Sri Lanka,Delhi,India,02-Dec-17,Test # 2286,shami-wkt-93,"got him first ball and it's a beauty. It's as if Shami didn't even miss the previous Test. Brute from around the stumps, angles this short of length delivery back in, this one nips away ever-so-slightly off the seam to square him up, and the poke wobbles away to Saha who makes no mistake. Kotla roars. Dream start..",,Keeper,"93. FDM Karunaratne c WP Saha b Shami
Test Match#: 27.0: v Sri Lanka at Delhi in 2017 (1st innings)",Shami
27,94,RAS Lakmal,caught,WP Saha,5,2,v Sri Lanka,Delhi,India,02-Dec-17,Test # 2286,shami-wkt-94,"healthy edge and an outstanding catch again from Saha. This was still on its way up as he instinctively moved to his right to grab that at shoulder height. This moved away off the seam to kiss the edge as he pushed at that. Reward, finally for Shami today..",,Keeper,"94. RAS Lakmal c WP Saha b Shami
Test Match#: 27.0: v Sri Lanka at Delhi in 2017 (1st innings)",Shami
27,95,S Samarawickrama,caught,AM Rahane,5,4,v Sri Lanka,Delhi,India,02-Dec-17,Test # 2286,shami-wkt-95,"hostile fast bowling at its very best. Sadeera has been snuffed out in the slip cordon by a rip roaring bouncer. Snicko points to a some glove as he tried to sway out of the way to avoid that. The ball then lobbed off the back bicep to Rahane at gully. This was a superb bouncer in the mid 140s from Shami, much like the previous delivery..",,InField,"95. S Samarawickrama c AM Rahane b Shami
Test Match#: 27.0: v Sri Lanka at Delhi in 2017 (2nd innings)",Shami
28,96,VD Philander,bowled,,23,1,v South Africa,Cape Town,South Africa,05-Jan-18,Test # 2292,shami-wkt-96,"this one is too good though. Leave or play, you're dead. Swings in from outside off, full, between bat and pad and gently kisses the top of middle stump.",,,"96. VD Philander b  Shami
Test Match#: 28.0: v South Africa at Cape Town in 2018 (1st innings)",Shami
28,97,HM Amla,caught,RG Sharma,4,3,v South Africa,Cape Town,South Africa,05-Jan-18,Test # 2292,shami-wkt-97,"Rohit claims the catch, but Amla stands his ground. Was that a clean catch? The soft signal from umpire Gough is out. Back of a length and speared outside off, Amla chases the ball away from the body and looks to punch it through the covers but his foot is nowhere near the pitch of the ball. The slow-mo's on TV are blurred, the evidence isn't conclusive enough. The ball dies sharply on Rohit, he bends low and takes it with both hands? Kohli is pumped. Think TV umpire Reiffel will go with the soft signal. And yes, he sends Amla on his way and India find the early wicket they were looking for on day four. Loose, loose shot from Amla, though, having a crack at a ball that was pushed on a sixth-seventh stump line outside off.",,InField,"97. HM Amla c RG Sharma b Shami
Test Match#: 28.0: v South Africa at Cape Town in 2018 (2nd innings)",Shami
28,98,K Rabada,caught,V Kohli,5,3,v South Africa,Cape Town,South Africa,05-Jan-18,Test # 2292,shami-wkt-98,"Edged and Kohli takes it. He throws the ball onto the ground and celebrates wildly. The India captain moved to his right from second slip and snapped it up in front of Pujara at first slip. Shami digs it shorter and gets it to tail away outside off, Rabada is squared up. He flaps a catch behind. He is facing midwicket by the time Kohli grabs the catch. Shami reaps reward for attacking the outside edge. Both batsmen from day two have been dismissed early on day four.",,InField,"98. K Rabada c V Kohli b Shami
Test Match#: 28.0: v South Africa at Cape Town in 2018 (2nd innings)",Shami
28,99,VD Philander,lbw,,0,3,v South Africa,Cape Town,South Africa,05-Jan-18,Test # 2292,shami-wkt-99,"big shout for lbw! And given! Philander's reviewing straight away. On the length between full and good, lands on off stump and moves into the right-hander after pitching, Philander's playing down the wrong line as the ball smacks his front leg. Impact in front of middle, and the ball would've gone on to crash into leg stump. He's got to go and South Africa lose a review..",,,"99. VD Philander lbw  Shami
Test Match#: 28.0: v South Africa at Cape Town in 2018 (2nd innings)",Shami
29,100,KA Maharaj,caught,PA Patel,18,1,v South Africa,Centurion,South Africa,13-Jan-18,Test # 2293,shami-wkt-100,"gets the edge! Shami gets a wicket in his best over of the match. Plugs away in the corridor, climbing in the corridor. Straigthens marginally and kisses the outside edge. Maharaj failed to get behind the line. Nicely done from the bowler.",Yes,Keeper,"100. KA Maharaj c PA Patel b Shami
Test Match#: 29.0: v South Africa at Centurion in 2018 (1st innings)",Shami
29,101,AB de Villiers,caught,PA Patel,80,3,v South Africa,Centurion,South Africa,13-Jan-18,Test # 2293,shami-wkt-101,got him! Shami gets it to climb up at AB and induces a stab. It's a length ball shooting up at AB who is looking to chop another one square. Gets it off the glove and it's a simple take. That swung in through the air and climbed off the pitch.,,Keeper,"101. AB de Villiers c PA Patel b Shami
Test Match#: 29.0: v South Africa at Centurion in 2018 (2nd innings)",Shami
29,102,D Elgar,caught,KL Rahul,61,3,v South Africa,Centurion,South Africa,13-Jan-18,Test # 2293,shami-wkt-102,"he's hit a long hop straight to deep square. A short ball, down leg side and he nails this pull shot. For connection, anyway. He's placed it straight to KL Rahul there, who misses it on the first attempt and fishes with hards hands to try and grab this as close to his body as possible. Ends up jamming it into his ribs and holds on to his right.",,,"102. D Elgar c KL Rahul b Shami
Test Match#: 29.0: v South Africa at Centurion in 2018 (2nd innings)",Shami
29,103,Q de Kock,caught,PA Patel,12,3,v South Africa,Centurion,South Africa,13-Jan-18,Test # 2293,shami-wkt-103,"won't survive this time. Another aimless waft. Length ball climbing up in the corridor. No attempt to move the feet, no attempt to cover the line. Edge carries to Parthiv's left and he takes an easy one.",,Keeper,"103. Q de Kock c PA Patel b Shami
Test Match#: 29.0: v South Africa at Centurion in 2018 (2nd innings)",Shami
29,104,K Rabada,caught,V Kohli,4,3,v South Africa,Centurion,South Africa,13-Jan-18,Test # 2293,shami-wkt-104,"edged to second slip and it's an easy take. Length ball coming in at off stump, drives on the up with no feet and ends up playing inside the line. Ball dips on Kohli but it's at a comfortable catching height.",,slip-cordon,"104. K Rabada c V Kohli b Shami
Test Match#: 29.0: v South Africa at Centurion in 2018 (2nd innings)",Shami
30,105,VD Philander,caught,JJ Bumrah,35,2,v South Africa,Johannesburg,South Africa,24-Jan-18,Test # 2294,shami-wkt-105,"superbly judged catch at long leg! Bumrah's the man, watching the ball intently, moving to his right simultaneously and taking a big pressure catch. The bouncer works and Shami finally has something in the wickets column. Gets it to climb high enough so when the batsman goes for a hook, he can't really control the shot because the ball keeps getting big on him. Top edge results and a good catch seals the exciting passage of play.",,return catch,"105. VD Philander c JJ Bumrah b Shami
Test Match#: 30.0: v South Africa at Johannesburg in 2018 (1st innings)",Shami
30,106,AK Markram,caught,PA Patel,4,4,v South Africa,Johannesburg,South Africa,24-Jan-18,Test # 2294,shami-wkt-106,"has he edged that? Yes he has! It's a short ball swinging away, very wide outside off. It's not one he should be playing as an opener. He probably thinks that way too, but his decision to leave comes to him late, after he has already opened his arms to try and cut. It lifts a touch and he fends away from the body. A thin edge, gratefully pouched by Parthiv.",,Keeper,"106. AK Markram c PA Patel b Shami
Test Match#: 30.0: v South Africa at Johannesburg in 2018 (2nd innings)",Shami
30,107,VD Philander,bowled,,10,4,v South Africa,Johannesburg,South Africa,24-Jan-18,Test # 2294,shami-wkt-107,"chops on going for a pull shot. There's no feet here. All hands, forcing the ball when it's not quite short enough for the shot, or wide enough for that matter..",,,"107. VD Philander b  Shami
Test Match#: 30.0: v South Africa at Johannesburg in 2018 (2nd innings)",Shami
30,108,AL Phehlukwayo,bowled,,0,4,v South Africa,Johannesburg,South Africa,24-Jan-18,Test # 2294,shami-wkt-108,"knocks him over! An uncertain forward press from Phehlukwayo to a pretty full, fast delivery outside off. Piggy-backs off the inside edge and onto the stumps. Double-wicket over and the Wanderers is stunned.",,,"108. AL Phehlukwayo b  Shami
Test Match#: 30.0: v South Africa at Johannesburg in 2018 (2nd innings)",Shami
30,109,M Morkel,bowled,,0,4,v South Africa,Johannesburg,South Africa,24-Jan-18,Test # 2294,shami-wkt-109,yorker! From looking under par to unplayable! It's 137 kph. It's from around the stumps and it's hunting the base of middle stump. Morkel cannot do anything to stop the gory spectacle. India are one wicket away.,,,"109. M Morkel b  Shami
Test Match#: 30.0: v South Africa at Johannesburg in 2018 (2nd innings)",Shami
30,110,L Ngidi,caught,KD Karthik (sub),4,4,v South Africa,Johannesburg,South Africa,24-Jan-18,Test # 2294,shami-wkt-110,another appeal for caught behind and the wicketkeeper is confident enough to signal the DRS himself. Back of a length delivery that Ngidi thrusts his hands at.... and there's a noise as the ball passes the bat... Ultra-Edge confirms it... Shami has five! India win!.,,,"110. L Ngidi c KD Karthik (sub) b Shami
Test Match#: 30.0: v South Africa at Johannesburg in 2018 (2nd innings)",Shami
31,111,KK Jennings,bowled,,42,1,v England,Birmingham,England,01-Aug-18,Test # 2314,shami-wkt-111,"oh, what a way to go!. Short of a length from round the wicket, Jennings defends and the ball drops down by his feet then dribbled back towards the stumps and just had enough force to dislodge the off bail. Agony for Jennings after all the hard work.",,,"111. KK Jennings b  Shami
Test Match#: 31.0: v England at Birmingham in 2018 (1st innings)",Shami
31,112,DJ Malan,lbw,,8,1,v England,Birmingham,England,01-Aug-18,Test # 2314,shami-wkt-112,"given lbw! Back of a length from round the wicket, beats the inside edge. Malan has called for the review. It's reasonably high on the back pad, but he's quite a way back. Umpire's call on impact and height so another low score for Malan at home.",,,"112. DJ Malan lbw  Shami
Test Match#: 31.0: v England at Birmingham in 2018 (1st innings)",Shami
31,113,SM Curran,caught,KD Karthik,24,1,v England,Birmingham,England,01-Aug-18,Test # 2314,shami-wkt-113,"and that's that...Curran has a fiddle outside off to a back of a length delivery and takes a regulation edge which Karthik takes safely this time. Very nice set up by Shami, a couple of big inswingers followed by the wider delivery which nips away.",,,"113. SM Curran c KD Karthik b Shami
Test Match#: 31.0: v England at Birmingham in 2018 (1st innings)",Shami
32,114,KK Jennings,lbw,,11,2,v England,Lord's,England,09-Aug-18,Test # 2315,shami-wkt-114,"plumb in front! But Jennings wants the third umpire's seal on this and has called for DRS. Unless he has nicked it, he's going to have to go. And UltraEdge says he hasn't. So Shami gets the reward for pitching the ball up; pitching it up so much that it nearly becomes a yorker. Jennings plays all around it, barely moving his feet, closing the face of the bat, looking for runs through midwicket when he really should have been using a straight bat. Well, he'll have plenty of time to think about his choices in the dressing room..",,,"114. KK Jennings lbw  Shami
Test Match#: 32.0: v England at Lord's in 2018 (1st innings)",Shami
32,115,JE Root,lbw,,19,2,v England,Lord's,England,09-Aug-18,Test # 2315,shami-wkt-115,"keeps low and he's caught in front! Timely strike for India, with lunch looming. Shami finds a way to make the ball scuttle through and Root is nowhere near prepared for it's mischief. One second, he's setting up to punch it into the off side. The next, he's slumped over, having been struck on the pad, right in front of off stump.",,,"115. JE Root lbw  Shami
Test Match#: 32.0: v England at Lord's in 2018 (1st innings)",Shami
32,116,JC Buttler,lbw,,24,2,v England,Lord's,England,09-Aug-18,Test # 2315,shami-wkt-116,"huge appeal and it's given, even though Buttler's down the pitch again. England have no more reviews, but it probably wouldn't have helped this time either. Shami goes full and straight. The batsman walks across and falls over, playing a flick. He needs to make contact. He doesn't. Now he's back in the hut.",,,"116. JC Buttler lbw  Shami
Test Match#: 32.0: v England at Lord's in 2018 (1st innings)",Shami
33,117,BA Stokes,caught,KL Rahul,10,2,v England,Nottingham,England,18-Aug-18,Test # 2316,shami-wkt-117,"got him at second slip! No doubt this time. KL Rahul pouches it at knee height. Stokes caught poking with hard hands outside off as one straightens after angling in. Good bowling, not very confident batting. This looks bleak for England now.",,slip-cordon,"117. BA Stokes c KL Rahul b Shami
Test Match#: 33.0: v England at Nottingham in 2018 (1st innings)",Shami
33,118,OJ Pope,caught,V Kohli,16,4,v England,Nottingham,England,18-Aug-18,Test # 2316,shami-wkt-118,"another sensational grab This time it's Kohli leaping to his left from third slip, hands in the reverse-cup position, stretching high above his head seeking the ball, and it sticks! Superb reflexes from the Indian captain. And he comes into play because Pope plays a very poor shot. Soon after he sees his senior partner depart, he throws his hands at a full delivery so very wide outside his off stump. The edge results. It was the only thing that could result..",,slip-cordon,"118. OJ Pope c V Kohli b Shami
Test Match#: 33.0: v England at Nottingham in 2018 (2nd innings)",Shami
34,119,JC Buttler,caught,V Kohli,21,1,v England,Southampton,England,30-Aug-18,Test # 2317,shami-wkt-119,"full and tempting, 86mph and Buttler steers a fat edge to third slip! Kohli grabs a sharp chance to his right and England are five down! That dismissal can go down to batsman error, a pitch-up ball but it swung enough, loose from Buttler as he reached for the drive, India gobble up another.",,slip-cordon,"119. JC Buttler c V Kohli b Shami
Test Match#: 34.0: v England at Southampton in 2018 (1st innings)",Shami
