TestMatchNumber,Wicket,Batter,dismissalMode,Fielder,Runs,Innings,Opposition,venue,country,matchDate,match,video,description,Milestone,fieldingPosition,wktDetails
15,60,F du Plessis,bowled,,10,2,v South Africa,Nagpur,India,25 Nov 2015,Test # 2189,jadeja-wkt-60,"played for turn but none was there. I'd say that was a decent shot, but this one saw no turn and the ball sneaks through and removes off stump. Went for a huge shot down the ground after it was pitched on a good length, Faf saw the opportunity to score some runs and went for it, backed himself but this one hit the pitch and hardly turned. SA in disarray. 35/6 ",,,"60. F du Plessis b  Jadeja
Test Match#: 15.0: v South Africa at Nagpur in 2015 (1st innings)"
15,61,DJ Vilas,bowled,,1,2,v South Africa,Nagpur,India,25 Nov 2015,Test # 2189,jadeja-wkt-61,"unplayable delivery! Just nothing can be done about that. Flat on leg, but just a fraction short, allowing the ball more time to spin. And it does just that. Rips past to off stump. Vilas correctly played the line of middle stump but was beaten on the outside edge and the ball clatters into the stumps. Impossible to play these.. 47/7",,,"61. DJ Vilas b  Jadeja
Test Match#: 15.0: v South Africa at Nagpur in 2015 (1st innings)"
16,62,T Bavuma,bowled,,22,2,v South Africa,Delhi,India,3 Dec 2015,Test # 2191,jadeja-wkt-62,"that was always likely to happen with the way Bavuma has been playing. He stays back in his crease and doesn't move his feet, exposing off and middle stump to Jadeja's accurate line and length. The ball pitches on a good length just outside off and skids on with the arm. Bavuma pokes tentatively and is beaten on the inside edge and bowled. 40/2 ",,,"62. T Bavuma b  Jadeja
Test Match#: 16.0: v South Africa at Delhi in 2015 (1st innings)"
16,63,HM Amla,caught,WP Saha,3,2,v South Africa,Delhi,India,3 Dec 2015,Test # 2191,jadeja-wkt-63,"he's been caught behind! Amla's walking. He went back to cut a ball that was not too short and close to off stump, spinning away. There's a definite edge and Amla fails again. Such a poor tour he's having.. 56/3 ",,Keeper,"63. HM Amla c WP Saha b Jadeja
Test Match#: 16.0: v South Africa at Delhi in 2015 (1st innings)"
16,64,F du Plessis,caught,AM Rahane,0,2,v South Africa,Delhi,India,3 Dec 2015,Test # 2191,jadeja-wkt-64,"caught down the leg side! Great anticipation from Rahane. He was moving towards the leg side as soon as Faf shaped to play the paddle-scoop. The ball simply lobbed tamely towards where a leg slip would have been, Rahane had got there from conventional slip instead. 62/4 ",,close-in,"64. F du Plessis c AM Rahane b Jadeja
Test Match#: 16.0: v South Africa at Delhi in 2015 (1st innings)"
16,65,DL Piedt,caught,AM Rahane,5,2,v South Africa,Delhi,India,3 Dec 2015,Test # 2191,jadeja-wkt-65,"caught at slip! Piedt drives away from his body at a flighted ball that spins sharply away from him, the edge travels quickly at chest height to Rahane, who is so safe at first slip. 103/8 ",,slip-cordon,"65. DL Piedt c AM Rahane b Jadeja
Test Match#: 16.0: v South Africa at Delhi in 2015 (1st innings)"
16,66,AB de Villiers,caught,I Sharma,42,2,v South Africa,Delhi,India,3 Dec 2015,Test # 2191,jadeja-wkt-66,"what a catch from Ishant on the long-off boundary to dismiss AB, Jadeja has a five-for! Superbly judged under the circumstances in the fading light. AB charged the bowler and lofted the ball, he seemed to slice it rather than hit it cleanly. Ishant positioned himself on the long off boundary, only a few feet from the rope, and then reached behind him and to his left to grab the ball as it descended. He managed to stay balanced inside the boundary too. 118/9",,Outfield,"66. AB de Villiers c I Sharma b Jadeja
Test Match#: 16.0: v South Africa at Delhi in 2015 (1st innings)"
16,67,HM Amla,bowled,,25,4,v South Africa,Delhi,India,3 Dec 2015,Test # 2191,jadeja-wkt-67,"LOOK AT THOSE CELEBRATIONS! India cannot believe it and there is a outburst of joy as Jadeja goes off on a celebratory run. The Kotla erupts too after a terrific delivery bowls Amla. The ball drifted into the right-hander from around the wicket, and Amla pushed forward to defend on a middle stump line. He was not to the pitch of the delivery which gave the ball time to grip and spin off the pitch, turning and bouncing past the outside edge to hit the top of off stump. And now his watch has ended.. 76/3 ",,,"67. HM Amla b  Jadeja
Test Match#: 16.0: v South Africa at Delhi in 2015 (2nd innings)"
16,68,F du Plessis,lbw,,10,4,v South Africa,Delhi,India,3 Dec 2015,Test # 2191,jadeja-wkt-68,LBW! Faf has to go and that looked pretty plumb at first glance. Faf would have watched those deliveries spin sharply away and so he pushes forward tentatively in defence. That ball did not turn. It slid on with the arm and hit him in front of middle. Gone. They are checking the no-ball but the foot is fine.. 111/4,,,"68. F du Plessis lbw  Jadeja
Test Match#: 16.0: v South Africa at Delhi in 2015 (2nd innings)"
17,69,RL Chase,caught,AM Rahane,2,2,v West Indies,Gros Islet,West Indies,9 Aug 2016,Test # 2215,jadeja-wkt-69,"Jadeja strikes now. Tossed up and turns away outside off, Chase has a lousy waft and edges it low to lone slip. Rahane bends low to his right and pouches it safely. Three wickets in four overs. 205/6",,slip-cordon,"69. RL Chase c AM Rahane b Jadeja
Test Match#: 17.0: v West Indies at Gros Islet in 2016 (1st innings)"
17,70,J Blackwood,stumped,WP Saha,1,4,v West Indies,Gros Islet,West Indies,9 Aug 2016,Test # 2215,jadeja-wkt-70,Jadeja comes on. Saha thinks he has Blackwood stumped. They refer it to the TV umpire. Did Blackwood drag his back leg back in time? Think there is nothing behind the line. The foot is on the line. TV umpire Brathwaite rules it out. Saha is congratulated by his team-mates. Jadeja tossed this up outside off and found some sharp turn. Dragging Blackwood forward who likes to tonk the ball. He stretches forward for a big drive and is beaten past the outside edge. Quicksilver work from Saha. He rode the extra bounce and turn superbly. Collects the ball to his right and knocked off the stumps India five away from victory. 68/5 ,,,"70. J Blackwood st WP Saha b Jadeja
Test Match#: 17.0: v West Indies at Gros Islet in 2016 (2nd innings)"
17,71,ST Gabriel,caught,B Kumar,11,4,v West Indies,Gros Islet,West Indies,9 Aug 2016,Test # 2215,jadeja-wkt-71,India win by 237 runs and wrap up the series. The celebrations begin in the Indian camp. Coach Kumble gets a win in his first series in charge. Jadeja gives it loads of air on middle. Gabriel has a good ol' No.11 slog. He ends up holing out to Bhuvneshwar who broke the game open for India. Pouches it safely at deep midwicket. 108/10,,Outfield,"71. ST Gabriel c B Kumar b Jadeja
Test Match#: 17.0: v West Indies at Gros Islet in 2016 (2nd innings)"
18,72,LRPL Taylor,lbw,,0,2,v New Zealand,Kanpur,India,22 Sep 2016,Test # 2221,jadeja-wkt-72,"happens all the time in India. All it takes is one strike. Jadeja sneaks in the slider, the news has not reached Taylor's front pad. He was defending around it, which is never good. At first, it seemed like it may have slid down leg. Off was visible, so was a slight bit of middle. Umpire Kettleborough is confident enough to give him. Then again, it might end up as umpire's call if DRS was in play. 160/3 ",,,"72. LRPL Taylor lbw  Jadeja
Test Match#: 18.0: v New Zealand at Kanpur in 2016 (1st innings)"
18,73,L Ronchi,lbw,,38,2,v New Zealand,Kanpur,India,22 Sep 2016,Test # 2221,jadeja-wkt-73,"ooof, that looked bad. I was convinced it had hit Ronchi on the full, while he was sweeping a ball that was in line with the stumps. Misses it completely - his shot selection was poor. Umpire Tucker sends him on his way, but it is later that I, at least, realise the ball was not a full toss hitting him on the front pad. It dipped and turned. Hit Ronch on the back pad after turning quite a bit. May well have missed off stump. 219/5 ",,,"73. L Ronchi lbw  Jadeja
Test Match#: 18.0: v New Zealand at Kanpur in 2016 (1st innings)"
18,74,MD Craig,lbw,,2,2,v New Zealand,Kanpur,India,22 Sep 2016,Test # 2221,jadeja-wkt-74,"traps him in front of middle and off! Given by umpire Kettleborough and he's bang on. The ball is quite full, and it may have stayed a touch low as well. Craig was trying ot flick, and with a closed face of his bat, he hasn't given himself a chance. Exemplifies the threat Jadeja poses. With his accuracy, all it takes is one ball to misbehave. 258/7 ",,,"74. MD Craig lbw  Jadeja
Test Match#: 18.0: v New Zealand at Kanpur in 2016 (1st innings)"
18,75,IS Sodhi,lbw,,0,2,v New Zealand,Kanpur,India,22 Sep 2016,Test # 2221,jadeja-wkt-75,"two in two! Another quicker delivery, strikes Sodhi in front of leg stump, and he wasn't entirely forward either. It may just have straightened enough.. 258/8 ",,,"75. IS Sodhi lbw  Jadeja
Test Match#: 18.0: v New Zealand at Kanpur in 2016 (1st innings)"
18,76,TA Boult,caught,RG Sharma,0,2,v New Zealand,Kanpur,India,22 Sep 2016,Test # 2221,jadeja-wkt-76,"tries to defend, without coming forward, and the ball has popped up to silly point - off his own boot, India reckon. The third umpire is called to adjudicate the catch. The no-ball is out of the way. Right onto the toe, and Rohit was alert enough to dive forward, reach with his right hand and pluck a stunning catch. That's five for Jadeja, his third in three first-class innings and his fifth in Test cricket. And a triple-wicket maiden!. 258/9",,InField,"76. TA Boult c RG Sharma b Jadeja
Test Match#: 18.0: v New Zealand at Kanpur in 2016 (1st innings)"
18,77,L Ronchi,caught,R Ashwin,80,4,v New Zealand,Kanpur,India,22 Sep 2016,Test # 2221,jadeja-wkt-77,"that's poor. He was not to the pitch of the flatter delivery on middle and off. But he was hitting against the turn. Slogging against it, really, looking to deposit it over wide long-on. Gets a leading edge that pops to point. Had a look of, 'fiddlesticks [Closest PG word I could think of], did I really do that' on his face the minute the ball leapt up off his outside edge. 158/5",,Outfield,"77. L Ronchi c R Ashwin b Jadeja
Test Match#: 18.0: v New Zealand at Kanpur in 2016 (2nd innings)"
19,78,L Ronchi,lbw,,35,2,v New Zealand,Eden Gardens,India,30 Sep 2016,Test # 2222,jadeja-wkt-78,"big lbw appeal, and this time Rod Tucker gives it out. Again it slid on, hurried on with the arm, and Ronchi was only half-forward in defence. This one, to me, seems to be missing leg stump. The Hawkeye tool on your scorecard (the icon has a set of stumps and a ball trajectory) suggests it would have missed as well, though not by much. 85/4",,,"78. L Ronchi lbw  Jadeja
Test Match#: 19.0: v New Zealand at Eden Gardens in 2016 (1st innings)"
19,79,HM Nicholls,caught,AM Rahane,24,4,v New Zealand,Eden Gardens,India,30 Sep 2016,Test # 2222,jadeja-wkt-79,"change of angle does the trick! Good length, pitching just outside off and going on with the angle across the batsman. Nicholls isn't fully forward, can't cover the lack of turn, and gets an outside edge that flies to Rahane at slip. Excellent delivery. 104/2 ",,slip-cordon,"79. HM Nicholls c AM Rahane b Jadeja
Test Match#: 19.0: v New Zealand at Eden Gardens in 2016 (2nd innings)"
19,80,L Ronchi,bowled,,32,4,v New Zealand,Eden Gardens,India,30 Sep 2016,Test # 2222,jadeja-wkt-80,"back of a length, this one goes on with the angle as Ronchi makes room to play through his favourite region square on the off side. Hurries into him, and he jams his bat down to try and keep it out but can only inside-edge into his pad and then into the stumps. 175/7 ",,,"80. L Ronchi b  Jadeja
Test Match#: 19.0: v New Zealand at Eden Gardens in 2016 (2nd innings)"
19,81,MJ Henry,caught,V Kohli,18,4,v New Zealand,Eden Gardens,India,30 Sep 2016,Test # 2222,jadeja-wkt-81,"tossed up, and finally Jadeja gets Henry. Kohli had returned to the field in the previous over, and now he's at short cover to grab onto this uppish drive from Henry, to a ball tossed up on off stump. Reflex, one-handed catch to his right at shoulder height. 190/9",,close-in,"81. MJ Henry c V Kohli b Jadeja
Test Match#: 19.0: v New Zealand at Eden Gardens in 2016 (2nd innings)"
20,82,BJ Watling,caught,AM Rahane,23,2,v New Zealand,Indore,India,8 Oct 2016,Test # 2223,jadeja-wkt-82,"is there an argument that Watling was set up? He was made to lunge forward to a few slow, loopy deliveries. Now Jadeja gets one to land on a good length and the batsman, having cultivated a habit of pushing at the ball, does so again. This time he is nowhere near the pitch, feathers an edge. Rahane has to move to his left, does so quickly enough to get both hands to the ball and then controls it with a bit of a juggle. Brilliant that he wasn't distracted by Saha trying his best to grab at the ball; he was well within his right to, of course as the keeper.. 201/6 ",,,"82. BJ Watling c AM Rahane b Jadeja
Test Match#: 20.0: v New Zealand at Indore in 2016 (1st innings)"
20,83,MJ Santner,caught,V Kohli,22,2,v New Zealand,Indore,India,8 Oct 2016,Test # 2223,jadeja-wkt-83,"how about that for a catch? The batsman was shaping for a cover drive, and for a leg slip to be alert enough to pick that up is simply super. Jadeja looped the ball up, and a littler wider to tempt Santner, the ball takes the inside edge, sneaks through the gate and ends up in Kohli's hands. 253/7",,close-in,"83. MJ Santner c V Kohli b Jadeja
Test Match#: 20.0: v New Zealand at Indore in 2016 (1st innings)"
20,84,JDS Neesham,caught,V Kohli,0,4,v New Zealand,Indore,India,8 Oct 2016,Test # 2223,jadeja-wkt-84,"chipped it straight to short midwicket. Trap set, trap sprung! There were plenty of men in the leg side, just for this shot. Short leg. Leg slip and then Kohli, who was diving low to his right to pull this off. 103/5 ",,InField,"84. JDS Neesham c V Kohli b Jadeja
Test Match#: 20.0: v New Zealand at Indore in 2016 (2nd innings)"
20,85,MJ Guptill,lbw,,29,4,v New Zealand,Indore,India,8 Oct 2016,Test # 2223,jadeja-wkt-85,"the pace... he's been beaten for pace! Jaddu spears in one of his arm balls on middle and leg, Guptill's front foot was on middle stump, his bat comes down beside it. Then has to work around it. By then the ball hits the knee-roll and umpire Dharmasena sends him on his way. 112/6",,,"85. MJ Guptill lbw  Jadeja
Test Match#: 20.0: v New Zealand at Indore in 2016 (2nd innings)"
21,86,AN Cook,lbw,,21,1,v England,Rajkot,India,9 Nov 2016,Test # 2232,jadeja-wkt-86,"flat, turning in to beat Cook's flick, and he's not reviewed this lbw decision! I think that was missing leg, very strange decision from Cook after Chris Gaffaney gave him out. Shuffled across to a length ball which pitched on the stumps and hit him in front of middle and leg. I'm really not sure that was hitting leg stump. Cook may have thought his shuffle had taken him farther across the stumps than he actually was. He was looking to work that through square leg or backward square leg, and it's dangerous to play Jadeja with a closed bat face. Missing leg by a long way, Hawkeye says. 47/1 ",,,"86. AN Cook lbw  Jadeja
Test Match#: 21.0: v England at Rajkot in 2016 (1st innings)"
21,87,CR Woakes,caught,WP Saha,4,1,v England,Rajkot,India,9 Nov 2016,Test # 2232,jadeja-wkt-87,"round the wicket, tossed up and straightening - got him, nicked to the keeper! A breakthrough straightaway after the interval, the finger went up from Gaffaney and Woakes does not challenge it, after a chat with his partner. Just enough grip and turn to tickle the outside edge as he propped forward. 451/7 ",,Keeper,"87. CR Woakes c WP Saha b Jadeja
Test Match#: 21.0: v England at Rajkot in 2016 (1st innings)"
21,88,AU Rashid,caught,UT Yadav,5,1,v England,Rajkot,India,9 Nov 2016,Test # 2232,jadeja-wkt-88,"impatience gets the better of him and Rashid lollipops a catch to mid-on! He was trying to hit against the turn, the ball skidded on and a tame effort spooned to the right of Yadav, who clung on without mishap this time. Rashid likes to whip those wrists but not a great shot. 465/8",,InField,"88. AU Rashid c UT Yadav b Jadeja
Test Match#: 21.0: v England at Rajkot in 2016 (1st innings)"
22,89,ZS Ansari,lbw,,4,2,v England,Visakhapatnam,India,17 Nov 2016,Test # 2235,jadeja-wkt-89,"given lbw! Playing round a very full ball, takes the back leg. Eventually Ansari calls for the review. Looks as though it misses the inside edge. Takes front pad, then back pad. So two noises. No edge. Hits in line with off stump and smashing middle.. 234/8",,,"89. ZS Ansari lbw  Jadeja
Test Match#: 22.0: v England at Visakhapatnam in 2016 (1st innings)"
22,90,AN Cook,lbw,,54,4,v England,Visakhapatnam,India,17 Nov 2016,Test # 2235,jadeja-wkt-90,"Jadeja has struck in the last over. Cook has reviewed it. There is not bat. I am afraid that is plumb. Jadeja you beauty. He has bowled that one big ball that India needed. That is stumps. England have overnight to decide whether they send Duckett in next. India have persisted. Jadeja has been around that off stump, pitching in the rough, getting turn, sometimes now. This is on a length, outside off, Cook is drawn across, and he plays a little across this as opposed to with a straight bat. The ball turns past his inside edge and hits him in front of off. The moment the replays show he has not hit it, you know he is gone. Point of impact on off, hitting the leg stump. India are rejuvenated just before stumps. 87/2 ",,,"90. AN Cook lbw  Jadeja
Test Match#: 22.0: v England at Visakhapatnam in 2016 (2nd innings)"
22,91,MM Ali,caught,V Kohli,2,4,v England,Visakhapatnam,India,17 Nov 2016,Test # 2235,jadeja-wkt-91,"the probing line pays off, a thick inside edge loops to backward short leg! Jadeja finds one of the footmarks, it bounces and grips to take the shoulder of the bat. A gentle catch for Kohli this time, around the corner. 101/4",,close-in,"91. MM Ali c V Kohli b Jadeja
Test Match#: 22.0: v England at Visakhapatnam in 2016 (2nd innings)"
23,92,BA Stokes,stumped,PA Patel,29,1,v England,Mohali,India,26 Nov 2016,Test # 2238,jadeja-wkt-92,"a terrible way for Stokes to go! Credit to the bowler for beating him all ends up, but Stokes simply walked straight past an ambitious drive, and Parthiv has all the time in the world to whip off the bails. Deceived by the pace and skid of Jadeja's tight line. But there was no need to do that, England were accumulating very calmly after lunch. 144/5 ",,,"92. BA Stokes st PA Patel b Jadeja
Test Match#: 23.0: v England at Mohali in 2016 (1st innings)"
23,93,JC Buttler,caught,V Kohli,43,1,v England,Mohali,India,26 Nov 2016,Test # 2238,jadeja-wkt-93,"tossed up, drilled in the air, and Kohli is on hand at mid-off to gobble a simple catch! Buttler becomes the latest England batsman to give it away after a comfortable start. And kudos to Kohli, he actually anticipated the shot and was running round from cover, Billy's Boots style, as the shot was played. 213/6",,InField,"93. JC Buttler c V Kohli b Jadeja
Test Match#: 23.0: v England at Mohali in 2016 (1st innings)"
23,94,GJ Batty,lbw,,0,3,v England,Mohali,India,26 Nov 2016,Test # 2238,jadeja-wkt-94,"and Jadeja has got through the nuisance of the nightwatchman in his first over of the morning. Batty pushes forward with bat and pad together. Jadeja pitches on a length, the ball straightens and also stays low, hitting the pad before it hits the bat. Looks like he is hit in front of off. Hitting middle and off. 78/5 ",,,"94. GJ Batty lbw  Jadeja
Test Match#: 23.0: v England at Mohali in 2016 (2nd innings)"
23,95,JE Root,caught,AM Rahane,78,3,v England,Mohali,India,26 Nov 2016,Test # 2238,jadeja-wkt-95,"what a lovely catch from Rahane. And that might be the Test. Root pushes at a length ball. Finally makes an error. Pushing in front of his body. Jadeja gets this to turn from around off, takes a thick edge, and Rahane sticks his left hand out at slip. The ball sticks. England 18 for 7 now. Rahane kisses the ball. 152/7",,slip-cordon,"95. JE Root c AM Rahane b Jadeja
Test Match#: 23.0: v England at Mohali in 2016 (2nd innings)"
24,96,AN Cook,stumped,PA Patel,46,1,v England,Wankhede,India,8 Dec 2016,Test # 2239,jadeja-wkt-96,"Jadeja strikes! How many times has Cook got stumped in Test cricket? Cook runs to the pitch of the ball but the ball is just short enough to allow some turn. Cook closes the bat face too early in an attempt to heave over midwicket but the ball spins through what was quite a big gap between bat and pad. Parthiv collects the ball by his shoulder and takes the bails off. May have clipped Cook's pad, too. What made the dismissal was the fact that Cook went through with his shot despite not getting to the pitch. An unusual method of dismissal.. 99/1 ",,,"96. AN Cook st PA Patel b Jadeja
Test Match#: 24.0: v England at Wankhede in 2016 (1st innings)"
24,97,CR Woakes,caught,PA Patel,11,1,v England,Wankhede,India,8 Dec 2016,Test # 2239,jadeja-wkt-97,"finds the edge this time! Another ripping delivery. Angled in to middle, spins sharply and grazes the edge to Parthiv. No doubts about this one.. 320/7 ",,Keeper,"97. CR Woakes c PA Patel b Jadeja
Test Match#: 24.0: v England at Wankhede in 2016 (1st innings)"
24,98,AU Rashid,bowled,,4,1,v England,Wankhede,India,8 Dec 2016,Test # 2239,jadeja-wkt-98,"Rashid leaves the straight ball. This one skids on, doesn't turn and knocks into off stump. I'm not sure what Rashid could have done, five balls turned in that over. This one is shorter just outside off and does not spin. Goes on and clatters into the off bail before lodging in Parthiv's helmet. Was it just the one that hits the seam and slides on? Unplayable, if you don't know if some are going to spin or not. 334/8 ",,,"98. AU Rashid b  Jadeja
Test Match#: 24.0: v England at Wankhede in 2016 (1st innings)"
24,99,JC Buttler,bowled,,76,1,v England,Wankhede,India,8 Dec 2016,Test # 2239,jadeja-wkt-99,"and that is that! Buttler down the pitch again, wasn't to the pitch, aimed a swing to the leg side and misses. Jadeja and Ashwin share all ten wickets. 400/10",,,"99. JC Buttler b  Jadeja
Test Match#: 24.0: v England at Wankhede in 2016 (1st innings)"
24,100,AN Cook,lbw,,18,3,v England,Wankhede,India,8 Dec 2016,Test # 2239,jadeja-wkt-100,"given this time. Massive wicket. Jadeja has trapped Cook in front again. Cook reviews. Is there too much spin? A flatter delivery on middle and leg from Jadeja, Cook is beaten by the length. He goes back because he thinks it's short, but it's actually full and quick. Cook beaten by the pace too once he's there, because he is late on getting bat to the ball. Strikes him in front of middle and leg. The ball hardly spun. All reds on HawkEye. Fails to get to 11k too. Jadeja, though, gets to 100 Test wickets. 43/2 ",,,"100. AN Cook lbw  Jadeja
Test Match#: 24.0: v England at Wankhede in 2016 (2nd innings)"
24,101,MM Ali,caught,M Vijay,0,3,v England,Wankhede,India,8 Dec 2016,Test # 2239,jadeja-wkt-101,"taken at leg gully. India all over England. Flat again on middle and leg, Moeen can't help his natural instinct to flick, the ball takes the inside half of Moeen's bat, carries low to Vijay at leg gully. Vijay keeps his eyes on the ball and pouches the ball with a scoop inches off the turf, taking it low to his right.. 49/3",,close-in,"101. MM Ali c M Vijay b Jadeja
Test Match#: 24.0: v England at Wankhede in 2016 (2nd innings)"
25,102,AN Cook,caught,V Kohli,10,1,v England,Chennai,India,16 Dec 2016,Test # 2241,jadeja-wkt-102,"edged and taken again. Another good catch from Kohli at slip. Jadeja takes out England's captain yet again. So much doubt was created with his previous over, some turned, some didn't. Jadeja pushes this one wider outside off, Cook gets forward and plays for more turn that there actually is. Gets a thick outside edge which carries low to Kohli's left. A two-handed grab sends Cook back again. A horror tour for Cook against Jadeja. Beaten by more than just this delivery.. 21/2 ",,slip-cordon,"102. AN Cook c V Kohli b Jadeja
Test Match#: 25.0: v England at Chennai in 2016 (1st innings)"
25,103,JE Root,caught,PA Patel,88,1,v England,Chennai,India,16 Dec 2016,Test # 2241,jadeja-wkt-103,"big appeal from Jadeja. Kohli thinks and thinks and reviews. So much doubt in the review decision. Flat and wide from Jadeja, Root gets low and sweeps. Is there bat on ball? Or bat on ground? One very discernible spike on UltraEdge. Looked like the spike was at a time when the bat was in the air, which is why the third umpire has changed the decision. The difference in time between the bat hitting the ground and the ball passing the bat was so less that there could have been a slight time lag. Or it was just bat on ground and then bat on ball. But there was just one spike on Ultra Edge. So it was either bat on ground or on ball. Root is not happy at all. There was bat on ground too. A successful review from India. That's interesting. It was also so thin that Root may not have felt the edge.. 167/3 ",,Keeper,"103. JE Root c PA Patel b Jadeja
Test Match#: 25.0: v England at Chennai in 2016 (1st innings)"
25,104,JM Bairstow,caught,KL Rahul,49,1,v England,Chennai,India,16 Dec 2016,Test # 2241,jadeja-wkt-104,"uh oh. Chips his wicket away. Bairstow falls for 49. Fale shot, loose shot. Tosses it up outside off, an innocuous half-volley outside off. Bairstow sees a run-scoring opportunity because it is so full. Drives hard but is through the stroke a tad early, the ball carries at hip height to Rahul at a shortish straight cover, who is more than delighted that he has held on. A great time for India to strike. They can easily neutralise the day in the next nine overs.. 253/4",,,"104. JM Bairstow c KL Rahul b Jadeja
Test Match#: 25.0: v England at Chennai in 2016 (1st innings)"
25,105,AN Cook,caught,KL Rahul,49,3,v England,Chennai,India,16 Dec 2016,Test # 2241,jadeja-wkt-105,"caught at leg slip! It's always a dangerous area for Cook, with his urge to walk across his stumps. In the end, he's flapped his bat at the ball almost as an afterthought, and deflected a sharp edge into leg-slip's breadbasket. And that is the sixth time that Cook has fallen to Jadeja in this series, which I do believe equals the record .... 103/1 ",,close-in,"105. AN Cook c KL Rahul b Jadeja
Test Match#: 25.0: v England at Chennai in 2016 (2nd innings)"
25,106,KK Jennings,caught,RA Jadeja,54,3,v England,Chennai,India,16 Dec 2016,Test # 2241,jadeja-wkt-106,"that's the breakthrough! Jennings on the move again, skipping down the pitch to disrupt the length, but he succeeds only in chipping a catch back to the bowler!. 110/2 ",,return catch,"106. KK Jennings c RA Jadeja b Jadeja
Test Match#: 25.0: v England at Chennai in 2016 (2nd innings)"
25,107,JE Root,lbw,,6,3,v England,Chennai,India,16 Dec 2016,Test # 2241,jadeja-wkt-107,"big appeal as Root goes down on one knee to sweep, and after a long consultation, Kohli reviews! There's no bat involved, and it was very full ... and hitting leg stump too! It was the length that did for him, too full for the shot, and it gripped just enough after pitching to hold its line. A poor choice of shot to end Root's interest in the series, and renew India's in the match!. 126/3 ",,,"107. JE Root lbw  Jadeja
Test Match#: 25.0: v England at Chennai in 2016 (2nd innings)"
25,108,MM Ali,caught,R Ashwin,44,3,v England,Chennai,India,16 Dec 2016,Test # 2241,jadeja-wkt-108,"urgh. That was a revolting heave from Moeen, and another lackadaisical dismissal. The drip, drip pressure does it for Jadeja, a filthy slog and a simple catch for Ashwin at mid-on. And England are now in deep, deep, deep, doo-doo. 192/5 ",,InField,"108. MM Ali c R Ashwin b Jadeja
Test Match#: 25.0: v England at Chennai in 2016 (2nd innings)"
25,109,BA Stokes,caught,KK Nair,23,3,v England,Chennai,India,16 Dec 2016,Test # 2241,jadeja-wkt-109,"gottim, another falls! Stokes closes the face on a tuck to leg and only succeeds in popping it straight off the face into the grateful hands of midwicket. Five for Jadeja and the walls after closing in for England. 193/6 ",,InField,"109. BA Stokes c KK Nair b Jadeja
Test Match#: 25.0: v England at Chennai in 2016 (2nd innings)"
25,110,SCJ Broad,caught,CA Pujara,1,3,v England,Chennai,India,16 Dec 2016,Test # 2241,jadeja-wkt-110,"loops up, taken at short leg... was there glove? Up goes the finger! I think Broad was starting to walk - though that's famously not his style. No need to review, it spat and turned off a length, clearing brushing the glove and ballooning to the close catcher. Off he walks and the dam looks just about fit to burst. 207/9 ",,close-in,"110. SCJ Broad c CA Pujara b Jadeja
Test Match#: 25.0: v England at Chennai in 2016 (2nd innings)"
25,111,JT Ball,caught,KK Nair,0,3,v England,Chennai,India,16 Dec 2016,Test # 2241,jadeja-wkt-111,"gone, it's all over! England are flat on the canvas! Jadeja has seven, India have 4-0, England are beaten into the dust once again. Regulation dismissal as Ball pushed forwards and the edge was snapped up - one-handed by the triple-centurion Nair - before the stadium erupted. Best figures and a maiden ten-for for Jadeja, who's really turned it on today to seal a wonderful series for the home side. 207/10",,,"111. JT Ball c KK Nair b Jadeja
Test Match#: 25.0: v England at Chennai in 2016 (2nd innings)"
26,112,Sabbir Rahman,lbw,,16,2,v Bangladesh,Hyderabad,India,9 Feb 2017,Test # 2249,jadeja-wkt-112,"he's given it out lbw but Sabbir goes to his partner to check, that indicates he has not hit it, Mushfiqur talks to his team-mate and then sends him on his way. This is a really full delivery on the stumps, to which Sabbir chooses to sweep. Not the right shot, and that's why he misses altogether. First impact with the front pad, then the back pad. He's in line with all three stumps. Looks like a pretty straightforward call from umpire Erasmus. 235/6 ",,,"112. Sabbir Rahman lbw  Jadeja
Test Match#: 26.0: v Bangladesh at Hyderabad in 2017 (1st innings)"
26,113,Taskin Ahmed,caught,AM Rahane,8,2,v Bangladesh,Hyderabad,India,9 Feb 2017,Test # 2249,jadeja-wkt-113,"edged and taken this time. Flat and quick outside off, Taskin gets forward but the ball carries on with the arm. Taskin plays for some turn but there isn't a lot. Gets a thick outside edge and Rahane takes a simple catch at first slip, Decent knock from Taskin. 378/9",,slip-cordon,"113. Taskin Ahmed c AM Rahane b Jadeja
Test Match#: 26.0: v Bangladesh at Hyderabad in 2017 (1st innings)"
26,114,Soumya Sarkar,caught,AM Rahane,42,4,v Bangladesh,Hyderabad,India,9 Feb 2017,Test # 2249,jadeja-wkt-114,"gone! Perfect length outside off, comes forward to defend, playing for slightly more turn than there was. Ends up defending with a slightly open face and it rolls off the outside half of it to the right of Rahane at slip. He takes it excellently, it was going quick, and he falls to his right and grabs it one-handed. 71/2 ",,slip-cordon,"114. Soumya Sarkar c AM Rahane b Jadeja
Test Match#: 26.0: v Bangladesh at Hyderabad in 2017 (2nd innings)"
